policy_id,region_id,policy_type,incentive_amount,start_date,end_date,ev_target_pct,priority_status,policy_description,policy_strength_score
P00129,RG0154,Purchase Subsidy,31372,2022-04-13,2025-12-23,60,High,"Purchase Subsidy for EV uptake in Maharashtra: incentive up to INR 31,372, target EV share 60%, active 2022-04-13 to 2025-12-23.",74.9
P00130,RG0077,Charging Infrastructure Grant,1146928,2023-07-20,2027-12-28,70,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,146,928, target EV share 70%, active 2023-07-20 to 2027-12-28.",100.0
P00131,RG0077,Purchase Subsidy,27939,2024-10-27,2029-12-28,60,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 27,939, target EV share 60%, active 2024-10-27 to 2029-12-28.",78.6
P00132,RG0077,Tax Exemption,14873,2025-01-07,2028-09-17,42,High,"Tax Exemption for EV uptake in Gujarat: incentive up to INR 14,873, target EV share 42%, active 2025-01-07 to 2028-09-17.",65.9
P00133,RG0076,Charging Infrastructure Grant,1135470,2019-04-14,2023-12-24,70,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,135,470, target EV share 70%, active 2019-04-14 to 2023-12-24.",100.0
P00134,RG0076,Purchase Subsidy,30361,2020-07-21,2025-12-28,60,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 30,361, target EV share 60%, active 2020-07-21 to 2025-12-28.",78.6
P00135,RG0076,Tax Exemption,13819,2021-10-01,2024-12-11,42,High,"Tax Exemption for EV uptake in Gujarat: incentive up to INR 13,819, target EV share 42%, active 2021-10-01 to 2024-12-11.",64.4
P00136,RG0078,Charging Infrastructure Grant,1117842,2022-01-08,2026-09-18,70,High,"Charging Infrastructure Grant for EV uptake in Gujarat: incentive up to INR 1,117,842, target EV share 70%, active 2022-01-08 to 2026-09-18.",100.0
P00137,RG0078,Purchase Subsidy,29420,2023-04-15,2028-12-25,60,High,"Purchase Subsidy for EV uptake in Gujarat: incentive up to INR 29,420, target EV share 60%, active 2023-04-15 to 2028-12-25.",78.6
P00138,RG0078,Tax Exemption,13911,2024-07-22,2027-12-28,42,High,"Tax Exemption for EV uptake in Gujarat: incentive up to INR 13,911, target EV share 42%, active 2024-07-22 to 2027-12-28.",65.1
P00139,RG0212,Charging Infrastructure Grant,1125185,2025-10-02,2029-12-12,69,High,"Charging Infrastructure Grant for EV uptake in Telangana: incentive up to INR 1,125,185, target EV share 69%, active 2025-10-02 to 2029-12-12.",100.0
P00140,RG0212,Purchase Subsidy,31117,2019-01-09,2024-09-19,59,High,"Purchase Subsidy for EV uptake in Telangana: incentive up to INR 31,117, target EV share 59%, active 2019-01-09 to 2024-09-19.",78.6
P00141,RG0212,Tax Exemption,12963,2020-04-16,2023-12-26,41,High,"Tax Exemption for EV uptake in Telangana: incentive up to INR 12,963, target EV share 41%, active 2020-04-16 to 2023-12-26.",65.2
